                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 DYB 10  WATL SIP  8 SAB  9 SAB 10 DYB 10 DYB 10 9 8 5 . 4 0 2 2  0
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 DYB 10  WATL DYB  8 SAB  9 SAB 10 DYB 10 DYB 10 9 8 5 . 4 0 2 2  0
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 DYB 10  WATL DYB  8 SAB  9 SAB 10 DYB 10 DYB 10 9 8 5 . 4 0 2 2  1
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 DYB 10  WATL DYB  8 SAB  9 SAB 10 SAB  9 DYB 10 9 5 - . 4 0 2 2  1
WTC  WFRC DYB  9 SAB 10 DYB  8 SAB  9 DYB 10  WATL DYB  8 SAB  9 SAB 10 SAB  9 DYB 10 9 5 - . 4 0 2 2  1
WTC  WFRC SAB  8 SAB 10 DYB  8 SAB  9 DYB 10  WATL DYB  8 SAB  9 SAB 10 SAB  9 DYB 10 9 5 - . 4 2 - 2  1
WTC  WFRC SAB  8 SAB 10 DYB  8 SAB  9 DYB 10  WFRC DYB  8 SAB  9 SAB 10 SAB  9 DYB 10 9 5 - . 4 2 - 2  1
WTC  WFRC SAB  8 SAB 10 SAB  7 SAB  9 DYB 10  WFRC DYB  8 SAB  9 SAB 10 SAB  9 DYB 10 9 5 - . 4 - - 2  1
WTC  WFRC SAB  8 SAB 10 SAB  7 SAB  9 DYB 10  WFRC SAB  7 SAB  9 SAB 10 SAB  9 DYB 10 9 - - . 4 - - 2  1
WTC  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB 10 SAB  9 DYB 10 9 - - . - - - 2  1
WTC  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - 2  1
TRY  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  ASTM SAB  7 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB 10 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB 10 SAB  9 SAB 10 - - - . - - - -  -
